"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4.5,1,0,0,1,1,0,0,0,1,0,7.2283884515736,4,7.2283884515736
4.5,1,0,0,1,1,0,0,0,1,1,6.55250788703459,5,6.55250788703459
4.5,0,0,0,1,1,0,0,0,1,1,6.41345895716736,4,0
4.5,1,0,0,1,1,0,0,0,1,0,6.50578406012823,4,6.50578406012823
4.5,1,0,0,1,1,0,0,0,1,1,7.78072088611792,5,7.78072088611792
4,0,0,0,1,1,0,0,0,1,0,7.0057890192535,3,0
5,0,0,0,1,1,0,0,0,0,0,3.76120011569356,2,0
4.5,1,0,0,1,1,0,0,0,1,1,6.30444880242198,5,6.30444880242198
4.5,1,0,0,1,1,0,0,0,1,0,7.02286808608264,4,7.02286808608264
4.5,0,0,0,1,1,0,0,0,1,0,5.34233425196481,3,0
4.5,0,0,0,1,1,0,0,0,0,0,6.04973345523196,2,0
4.5,0,0,0,1,0,1,0,0,1,0,3.13549421592915,3,0
3,0,0,0,1,0,0,1,0,0,0,4.62497281328427,2,0
3.5,0,0,0,0,1,1,0,0,0,0,5.80814248998044,2,0
4.5,1,0,0,1,1,0,0,0,1,0,6.3456363608286,4,6.3456363608286
3,0,0,0,1,0,0,1,0,0,0,3.98898404656427,2,0
4.5,1,0,0,1,1,0,0,0,1,1,4.17438726989564,5,4.17438726989564
3,0,0,0,1,1,0,0,0,0,0,5.05624580534831,2,0
4,1,0,0,1,1,0,0,0,0,0,6.17170059741091,3,6.17170059741091
4.5,1,0,0,1,1,0,0,0,0,0,4.39444915467244,3,4.39444915467244
4,1,0,0,1,1,0,0,0,0,0,5.71042701737487,3,5.71042701737487
3,0,0,0,1,1,0,0,0,0,0,5.27299955856375,2,0
2.5,0,0,0,1,0,1,0,0,0,0,4.77912349311153,2,0
4.5,1,0,0,1,1,0,0,0,1,1,6.29894924685594,5,6.29894924685594
5,0,0,0,1,1,0,0,0,1,0,6.63200177739563,3,0
4,0,0,0,1,0,1,0,0,1,1,6.80682936039218,4,0
5,0,0,0,1,1,0,0,0,1,1,5.56452040732269,4,0
4,1,0,0,1,0,0,1,0,1,0,7.38398945797851,4,7.38398945797851
4,1,0,0,1,1,0,0,0,0,0,6.64509096950564,3,6.64509096950564
4,0,0,0,0,1,0,1,0,1,0,3.73766961828337,3,0
4.5,0,0,1,1,1,0,0,0,1,1,2.56494935746154,5,0
4.5,1,0,0,1,1,0,0,0,1,1,5.76519110278484,5,5.76519110278484
4.5,1,0,0,1,1,0,0,0,1,0,5.15905529921453,4,5.15905529921453
4.5,0,0,0,1,1,0,0,0,1,1,7.40000951716269,4,0
3.5,0,0,0,1,1,0,0,0,0,0,5.09375020080676,2,0
3.5,0,0,0,1,1,0,0,0,0,0,3.04452243772342,2,0
3.5,0,0,0,1,1,0,0,0,0,0,5.91350300563827,2,0
3.5,0,0,1,0,0,1,1,0,0,0,4.64439089914137,3,0
4.5,0,0,0,1,1,0,0,0,1,0,2.83321334405622,3,0
4,0,0,0,1,1,0,0,0,0,0,6.32793678372919,2,0
